"Código";"Artículo";"Descripción";"Descripción"
"02990101100000";"38-299";"BLANCO";"110"
"02990108500000";"38-299";"BLANCO";"85"
"02990109000000";"38-299";"BLANCO";"90"
"02990109500000";"38-299";"BLANCO";"95"
"02990190100000";"38-299";"SALMON";"100"
"02990190105000";"38-299";"SALMON";"105"
"02990190110000";"38-299";"SALMON";"110"
"02990190850000";"38-299";"SALMON";"85"
"02990190900000";"38-299";"SALMON";"90"
"02990190950000";"38-299";"SALMON";"95"
"02990301000000";"38-299";"NEGRO";"100"
"02990301050000";"38-299";"NEGRO";"105"
"02990301100000";"38-299";"NEGRO";"110"
"02990308500000";"38-299";"NEGRO";"85"
"02990309000000";"38-299";"NEGRO";"90"
"02990309500000";"38-299";"NEGRO";"95"
"02990331010000";"38-299";"VERDE AGUA";"100"
"02990331010500";"38-299";"VERDE AGUA";"105"
"02990331011000";"38-299";"VERDE AGUA";"110"
"02990331085000";"38-299";"VERDE AGUA";"85"
"02990331090000";"38-299";"VERDE AGUA";"90"
"02990331095000";"38-299";"VERDE AGUA";"95"
"02990360850000";"38-299";"PETROLEO";"85"
"02990360900000";"38-299";"PETROLEO";"90"
"02990360950000";"38-299";"PETROLEO";"95"
"02990680100000";"38-299";"VISON";"100"
"02990680105000";"38-299";"VISON";"105"
"02990680110000";"38-299";"VISON";"110"
"02990680850000";"38-299";"VISON";"85"
"02990680900000";"38-299";"VISON";"90"
"02990680950000";"38-299";"VISON";"95"
"03-3217!va!l";"03-3217";"VERDE ACUA";"L"
"03-3217!va!m";"03-3217";"VERDE ACUA";"M"
"03-3217!va!s";"03-3217";"VERDE ACUA";"S"
"03-3217!va!xl";"03-3217";"VERDE ACUA";"XL"
"03-3217!va!xxl";"03-3217";"VERDE ACUA";"XXL"
"0300014000";"23-140";"SURTIDO";"UNICO"
"0300015000";"23-150";"SURTIDO";"UNICO"
"0300025000";"23-250";"SURTIDO";"UNICO"
"03000304000000";"38-300";"SURTIDO";"M"
"0300110000";"08-11";"SURTIDO";"UNICO"
"03001100000";"08-11";"SURTIDO";"UNICO"
"0300130000";"08-13";"SURTIDO";"UNICO"
"03001300000";"08-13";"SURTIDO";"UNICO"
"0300140000";"08-14";"SURTIDO";"UNICO"
"03001400000";"08-14";"SURTIDO";"UNICO"
"0300150000";"08-15";"SURTIDO";"UNICO"
"03001500000";"08-15";"SURTIDO";"UNICO"
"0300200000";"08-20";"SURTIDO";"UNICO"
"03002000000";"08-20";"SURTIDO";"UNICO"
"0300210000";"08-21";"SURTIDO";"UNICO"
"03002100000";"08-21";"SURTIDO";"UNICO"
"0300230000";"08-23";"SURTIDO";"UNICO"
"03002300000";"08-23";"SURTIDO";"UNICO"
"0300240000";"08-24";"SURTIDO";"UNICO"
"03002400000";"08-24";"SURTIDO";"UNICO"
"0300250000";"08-25";"SURTIDO";"UNICO"
"03002500000";"08-25";"SURTIDO";"UNICO"
"0300300000";"08-30";"SURTIDO";"UNICO"
"03003000000";"08-30";"SURTIDO";"UNICO"
"03003010000000";"38-30";"NEGRO";"S"
"03003020000000";"38-30";"NEGRO";"M"
"0300400000";"08-40";"SURTIDO";"UNICO"
"03004000000";"08-40";"SURTIDO";"UNICO"
"03006701000000";"38-30";"MILITAR";"S"
"03006702000000";"38-30";"MILITAR";"M"
"0300700000";"08-70";"SURTIDO";"UNICO"
"03007000000";"08-70";"SURTIDO";"UNICO"
"0300750000";"08-75";"SURTIDO";"UNICO"
"03007500000";"08-75";"SURTIDO";"UNICO"
"03007801000000";"38-30";"GRIS MELANGE";"S"
"03007802000000";"38-30";"GRIS MELANGE";"M"
"03007803000000";"38-30";"GRIS MELANGE";"L"
"03008001000000";"38-30";"VERDE MILITAR";"S"
"03008002000000";"38-30";"VERDE MILITAR";"M"
"03010000202";"08-100";"BLANCO";"85"
"03010000203";"08-100";"NEGRO";"85"
"03010000204";"08-100";"HUESO";"85"
"03010000219";"08-100";"ROSA";"85"
"03010000235";"08-100";"GRIS";"85"
"03010000302";"08-100";"BLANCO";"90"
"03010000303";"08-100";"NEGRO";"90"
"03010000304";"08-100";"HUESO";"90"
"03010000319";"08-100";"ROSA";"90"
"03010000335";"08-100";"GRIS";"90"
"03010000402";"08-100";"BLANCO";"95"
"03010000403";"08-100";"NEGRO";"95"
"03010000404";"08-100";"HUESO";"95"
"03010000419";"08-100";"ROSA";"95"
"03010000435";"08-100";"GRIS";"95"
"03010000502";"08-100";"BLANCO";"100"
"03010000503";"08-100";"NEGRO";"100"
"03010000504";"08-100";"HUESO";"100"
"03010000519";"08-100";"ROSA";"100"
"03010000535";"08-100";"GRIS";"100"
"0301000202";"08-100";"BLANCO";"85"
"0301000203";"08-100";"NEGRO";"85"
"0301000204";"08-100";"HUESO";"85"
"0301000219";"08-100";"ROSA";"85"
"0301000235";"08-100";"GRIS";"85"
"0301000302";"08-100";"BLANCO";"90"
"0301000303";"08-100";"NEGRO";"90"
"0301000304";"08-100";"HUESO";"90"
"0301000319";"08-100";"ROSA";"90"
"0301000335";"08-100";"GRIS";"90"
"0301000402";"08-100";"BLANCO";"95"
"0301000403";"08-100";"NEGRO";"95"
"0301000404";"08-100";"HUESO";"95"
"0301000419";"08-100";"ROSA";"95"
"0301000435";"08-100";"GRIS";"95"
"0301000502";"08-100";"BLANCO";"100"
"0301000503";"08-100";"NEGRO";"100"
"0301000504";"08-100";"HUESO";"100"
"0301000519";"08-100";"ROSA";"100"
"0301000535";"08-100";"GRIS";"100"
"03011000202";"08-110";"BLANCO";"85"
"03011000203";"08-110";"NEGRO";"85"
"03011000204";"08-110";"HUESO";"85"
"03011000219";"08-110";"ROSA";"85"
"03011000302";"08-110";"BLANCO";"90"
"03011000303";"08-110";"NEGRO";"90"
"03011000304";"08-110";"HUESO";"90"
"03011000319";"08-110";"ROSA";"90"
"03011000402";"08-110";"BLANCO";"95"
"03011000403";"08-110";"NEGRO";"95"
"03011000404";"08-110";"HUESO";"95"
"03011000419";"08-110";"ROSA";"95"
"03011000502";"08-110";"BLANCO";"100"
"03011000503";"08-110";"NEGRO";"100"
"03011000504";"08-110";"HUESO";"100"
"03011000519";"08-110";"ROSA";"100"
"0301100202";"08-110";"BLANCO";"85"
"0301100203";"08-110";"NEGRO";"85"
"0301100204";"08-110";"HUESO";"85"
"0301100219";"08-110";"ROSA";"85"
"0301100302";"08-110";"BLANCO";"90"
"0301100303";"08-110";"NEGRO";"90"
"0301100304";"08-110";"HUESO";"90"
"0301100319";"08-110";"ROSA";"90"
"0301100402";"08-110";"BLANCO";"95"
"0301100403";"08-110";"NEGRO";"95"
"0301100404";"08-110";"HUESO";"95"
"0301100419";"08-110";"ROSA";"95"
"0301100502";"08-110";"BLANCO";"100"
"0301100503";"08-110";"NEGRO";"100"
"0301100504";"08-110";"HUESO";"100"
"0301100519";"08-110";"ROSA";"100"
"03012000202";"08-120";"BLANCO";"85"
"03012000203";"08-120";"NEGRO";"85"
"03012000204";"08-120";"HUESO";"85"
"03012000219";"08-120";"ROSA";"85"
"03012000235";"08-120";"GRIS";"85"
"03012000284";"23-1200";"AVELLANA";"85"
"03012000302";"08-120";"BLANCO";"90"
"03012000303";"08-120";"NEGRO";"90"
"03012000304";"08-120";"HUESO";"90"
"03012000319";"08-120";"ROSA";"90"
"03012000335";"08-120";"GRIS";"90"
"03012000384";"23-1200";"AVELLANA";"90"
"03012000402";"08-120";"BLANCO";"95"
"03012000403";"08-120";"NEGRO";"95"
"03012000404";"08-120";"HUESO";"95"
"03012000408";"23-1200";"FRESA";"95"
"03012000419";"08-120";"ROSA";"95"
"03012000435";"08-120";"GRIS";"95"
"03012000484";"23-1200";"AVELLANA";"95"
"03012000502";"08-120";"BLANCO";"100"
"03012000503";"08-120";"NEGRO";"100"
"03012000504";"08-120";"HUESO";"100"
"03012000519";"08-120";"ROSA";"100"
"03012000535";"08-120";"GRIS";"100"
"03012000584";"23-1200";"AVELLANA";"100"
"0301200202";"08-120";"BLANCO";"85"
"0301200203";"08-120";"NEGRO";"85"
"0301200204";"08-120";"HUESO";"85"
"0301200219";"08-120";"ROSA";"85"
"0301200235";"08-120";"GRIS";"85"
"0301200302";"08-120";"BLANCO";"90"
"0301200303";"08-120";"NEGRO";"90"
"0301200304";"08-120";"HUESO";"90"
"0301200319";"08-120";"ROSA";"90"
"0301200335";"08-120";"GRIS";"90"
"0301200402";"08-120";"BLANCO";"95"
"0301200403";"08-120";"NEGRO";"95"
"0301200404";"08-120";"HUESO";"95"
"0301200419";"08-120";"ROSA";"95"
"0301200435";"08-120";"GRIS";"95"
"0301200502";"08-120";"BLANCO";"100"
"0301200503";"08-120";"NEGRO";"100"
"0301200504";"08-120";"HUESO";"100"
"0301200519";"08-120";"ROSA";"100"
"0301200535";"08-120";"GRIS";"100"
"03012100202";"23-1210";"BLANCO";"85"
"03012100203";"23-1210";"NEGRO";"85"
"03012100208";"23-1210";"FRESA";"85"
"03012100219";"23-1210";"ROSA";"85"
"03012100234";"23-1210";"CELESTE";"85"
"03012100284";"23-1210";"AVELLANA";"85"
"03012100302";"23-1210";"CELESTE";"90"
"03012100303";"23-1210";"NEGRO";"90"
"03012100308";"23-1210";"FRESA";"90"
"03012100319";"23-1210";"ROSA";"90"
"03012100334";"23-1210";"CELESTE";"90"
"03012100384";"23-1210";"AVELLANA";"90"
"03012100402";"23-1210";"BLANCO";"95"
"03012100403";"23-1210";"NEGRO";"95"
"03012100408";"23-1210";"FRESA";"95"
"03012100409";"23-1210";"FRESA";"95"
"03012100419";"23-1210";"ROSA";"95"
"03012100434";"23-1210";"CELESTE";"95"
"03012100435";"23-1210";"CELESTE";"95"
"03012100484";"23-1210";"AVELLANA";"95"
"03012100502";"23-1210";"BLANCO";"100"
"03012100503";"23-1210";"NEGRO";"100"
"03012100508";"23-1210";"FRESA";"100"
"03012100519";"23-1210";"ROSA";"100"
"03012100534";"23-1210";"CELESTE";"100"
"03012100584";"23-1210";"AVELLANA";"100"
"03012200231";"23-1220";"AZUL CLARO";"85"
"03012200232";"23-1220";"AZUL CLARO";"85"
"03012200262";"23-1220";"AZUL/BLANCO";"85"
"03012200278";"23-1220";"NEGRO/CORAL";"85"
"03012200331";"23-1220";"AZUL CLARO";"90"
"03012200332";"23-1220";"AZUL CLARO";"90"
"03012200362";"23-1220";"AZUL/BLANCO";"90"
"03012200378";"23-1220";"NEGRO/CORAL";"90"
"03012200431";"23-1220";"AZUL CLARO";"95"
"03012200432";"23-1220";"AZUL CLARO";"95"
"03012200462";"23-1220";"AZUL/BLANCO";"95"
"03012200478";"23-1220";"NEGRO/CORAL";"95"
"03012200531";"23-1220";"AZUL CLARO";"100"
"03012200532";"23-1220";"AZUL CLARO";"100"
"03012200562";"23-1220";"AZUL/BLANCO";"100"
"03012200578";"23-1220";"NEGRO/CORAL";"100"
"03012500202";"23-1250";"BLANCO";"85"
"03012500235";"23-1250";"GRIS";"85"
"03012500302";"23-1250";"BLANCO";"90"
"03012500402";"23-1250";"BLANCO";"95"
"03012500435";"23-1250";"GRIS";"95"
"03012500502";"23-1250";"BLANCO";"100"
"03012500503";"23-1250";"NEGRO";"100"
"03012500535";"23-1250";"GRIS";"100"
"03012900201";"23-1290";"GRIS TOPO";"85"
"03012900215";"23-1290";"CORALINO";"85"
"03012900265";"23-1290";"AZUL/BLANCO";"85"
"03012900274";"23-1290";"GRIS/NEGRO";"85"
"03012900301";"23-1290";"GRIS TOPO";"90"
"03012900315";"23-1290";"CORALINO";"90"
"03012900365";"23-1290";"AZUL/BLANCO";"90"
"03012900374";"23-1290";"GRIS/NEGRO";"90"
"03012900401";"23-1290";"GRIS TOPO";"95"
"03012900415";"23-1290";"CORALINO";"95"
"03012900465";"23-1290";"AZUL/BLANCO";"95"
"03012900474";"23-1290";"GRIS/NEGRO";"95"
"03012900501";"23-1290";"GRIS TOPO";"100"
"03012900515";"23-1290";"CORALINO";"100"
"03012900565";"23-1290";"AZUL/BLANCO";"100"
"03012900574";"23-1290";"GRIS/NEGRO";"100"
"03013000202";"08-130";"BLANCO";"85"
"03013000206";"23-1300";"AZUL";"85"
"03013000215";"23-1300";"CORAL";"85"
"03013000219";"08-130";"ROSA";"85"
"03013000235";"08-130";"GRIS";"85"
"03013000302";"08-130";"BLANCO";"90"
"03013000306";"23-1300";"AZUL";"90"
"03013000307";"23-1300";"NUDE";"90"
"03013000315";"23-1300";"CORAL";"90"
"03013000319";"08-130";"ROSA";"90"
"03013000335";"08-130";"GRIS";"90"
"03013000402";"08-130";"BLANCO";"95"
"03013000406";"23-1300";"AZUL";"95"
"03013000415";"23-1300";"CORAL";"95"
"03013000419";"08-130";"ROSA";"95"
"03013000435";"08-130";"GRIS";"95"
"03013000502";"08-130";"BLANCO";"100"
"03013000506";"23-1300";"AZUL";"100"
"03013000515";"23-1300";"CORAL";"100"
"03013000519";"08-130";"ROSA";"100"
"03013000535";"08-130";"GRIS";"100"
"0301300202";"08-130";"BLANCO";"85"
"0301300219";"08-130";"ROSA";"85"
"0301300235";"08-130";"GRIS";"85"
"0301300302";"08-130";"BLANCO";"90"
"0301300319";"08-130";"ROSA";"90"
"0301300335";"08-130";"GRIS";"90"
"0301300402";"08-130";"BLANCO";"95"
"0301300419";"08-130";"ROSA";"95"
"0301300435";"08-130";"GRIS";"95"
"0301300502";"08-130";"BLANCO";"100"
"0301300519";"08-130";"ROSA";"100"
"0301300535";"08-130";"GRIS";"100"
"03014000202";"08-140";"BLANCO";"85"
"03014000203";"08-140";"NEGRO";"85"
"03014000219";"08-140";"ROSA";"85"
"03014000235";"08-140";"GRIS";"85"
"03014000302";"08-140";"BLANCO";"90"
"03014000303";"08-140";"NEGRO";"90"
"03014000319";"08-140";"ROSA";"90"
"03014000335";"08-140";"GRIS";"90"
"03014000402";"08-140";"BLANCO";"95"
"03014000403";"08-140";"NEGRO";"95"
"03014000419";"08-140";"ROSA";"95"
"03014000435";"08-140";"GRIS";"95"
"03014000502";"08-140";"BLANCO";"100"
"03014000503";"08-140";"NEGRO";"100"
"03014000519";"08-140";"ROSA";"100"
"03014000535";"08-140";"GRIS";"100"
"0301400202";"08-140";"BLANCO";"85"
"0301400203";"08-140";"NEGRO";"85"
"0301400219";"08-140";"ROSA";"85"
"0301400235";"08-140";"GRIS";"85"
"0301400302";"08-140";"BLANCO";"90"
"0301400303";"08-140";"NEGRO";"90"
"0301400319";"08-140";"ROSA";"90"
"0301400335";"08-140";"GRIS";"90"
"0301400402";"08-140";"BLANCO";"95"
"0301400403";"08-140";"NEGRO";"95"
"0301400419";"08-140";"ROSA";"95"
"0301400435";"08-140";"GRIS";"95"
"0301400502";"08-140";"BLANCO";"100"
"0301400503";"08-140";"NEGRO";"100"
"0301400519";"08-140";"ROSA";"100"
"0301400535";"08-140";"GRIS";"100"
"0301600202";"08-160";"BLANCO";"85"
"0301600204";"08-160";"HUESO";"85"
"0301600302";"08-160";"BLANCO";"90"
"0301600303";"08-160";"NEGRO";"90"
"0301600304";"08-160";"HUESO";"90"
"0301600402";"08-160";"BLANCO";"95"
"0301600403";"08-160";"NEGRO";"95"
"0301600502";"08-160";"BLANCO";"100"
"0301600503";"08-160";"NEGRO";"100"
"0301600504";"08-160";"HUESO";"100"
"03019000201";"23-1900";"GRIS TOPO";"85"
"030190002015";"23-1900";"CORAL";"85"
"03019000202";"23-1900";"BLANCO";"85"
"03019000203";"23-1900";"NEGRO";"85"
"03019000204";"23-1900";"HUESO";"85"
"03019000206";"23-1900";"AZUL";"85"
"030190002103";"23-1900";"NEGRO";"85"
"030190002109";"23-1900";"GRIS TOPO";"85"
"03019000215";"23-1900";"CORALINO";"85"
"030190003015";"23-1900";"CORAL";"90"
"03019000302";"23-1900";"BLANCO";"90"
"03019000303";"23-1900";"NEGRO";"90"
"03019000304";"23-1900";"HUESO";"90"
"03019000306";"23-1900";"AZUL";"90"
"030190003109";"23-1900";"GRIS TOPO";"90"
"03019000315";"23-1900";"CORALINO";"90"
"03019000401";"23-1900";"GRIS TOPO";"95"
"030190004015";"23-1900";"CORAL";"95"
"03019000402";"23-1900";"BLANCO";"95"
"03019000403";"23-1900";"NEGRO";"95"
"03019000404";"23-1900";"HUESO";"95"
"03019000406";"23-1900";"AZUL";"95"
"030190004109";"23-1900";"GRIS TOPO";"95"
"03019000415";"23-1900";"CORALINO";"95"
"03019000501";"23-1900";"GRIS TOPO";"100"
"030190005015";"23-1900";"CORAL";"100"
"03019000502";"23-1900";"BLANCO";"100"
"03019000503";"23-1900";"NEGRO";"100"
"03019000504";"23-1900";"HUESO";"100"
"03019000506";"23-1900";"AZUL";"100"
"030190005109";"23-1900";"GRIS TOPO";"100"
"03019000515";"23-1900";"CORALINO";"100"
"0301900315";"23-1900";"CORALINO";"90"
"03020000202";"08-200";"BLANCO";"85"
"03020000203";"08-200";"NEGRO";"85"
"03020000204";"08-200";"HUESO";"85"
"03020000206";"08-200";"AZUL";"85"
"030200002100";"08-200";"FRUTILLA";"85"
"03020000302";"08-200";"BLANCO";"90"
"03020000303";"08-200";"NEGRO";"90"
"03020000304";"08-200";"HUESO";"90"
"03020000306";"08-200";"AZUL";"90"
"030200003100";"08-200";"FRUTILLA";"90"
"03020000402";"08-200";"BLANCO";"95"
"03020000403";"08-200";"NEGRO";"95"
"03020000404";"08-200";"HUESO";"95"
"03020000406";"08-200";"AZUL";"95"
"030200004100";"08-200";"FRUTILLA";"95"
"03020000502";"08-200";"BLANCO";"100"
"03020000503";"08-200";"NEGRO";"100"
"03020000504";"08-200";"HUESO";"100"
"03020000506";"08-200";"AZUL";"100"
"030200005100";"08-200";"FRUTILLA";"100"
"0302000202";"08-200";"BLANCO";"85"
"0302000203";"08-200";"NEGRO";"85"
"0302000204";"08-200";"HUESO";"85"
"0302000206";"08-200";"AZUL";"85"
"03020002100";"08-200";"FRUTILLA";"85"
"0302000302";"08-200";"BLANCO";"90"
"0302000303";"08-200";"NEGRO";"90"
"0302000304";"08-200";"HUESO";"90"
"0302000306";"08-200";"AZUL";"90"
"03020003100";"08-200";"FRUTILLA";"90"
"0302000402";"08-200";"BLANCO";"95"
"0302000403";"08-200";"NEGRO";"95"
"0302000404";"08-200";"HUESO";"95"
"0302000406";"08-200";"AZUL";"95"
"03020004100";"08-200";"FRUTILLA";"95"
"0302000502";"08-200";"BLANCO";"100"
"0302000503";"08-200";"NEGRO";"100"
"0302000504";"08-200";"HUESO";"100"
"0302000506";"08-200";"AZUL";"100"
"03020005100";"08-200";"FRUTILLA";"100"
"0302002100";"08-200";"FRUTILLA";"85"
"0302003100";"08-200";"FRUTILLA";"90"
"0302004100";"08-200";"FRUTILLA";"95"
"0302005100";"08-200";"FRUTILLA";"100"
"03020101000000";"38-302";"BLANCO";"100"
"03020101050000";"38-302";"BLANCO";"105"
"03020101100000";"38-302";"BLANCO";"110"
"03020108500000";"38-302";"BLANCO";"85"
"03020109000000";"38-302";"BLANCO";"90"
"03020109500000";"38-302";"BLANCO";"95"
"03020270100000";"38-302";"BORDO";"100"
"03020270105000";"38-302";"BORDO";"105"
"03020270110000";"38-302";"BORDO";"110"
"03020270850000";"38-302";"BORDO";"85"
"03020270900000";"38-302";"BORDO";"90"
"03020270950000";"38-302";"BORDO";"95"
"03020301000000";"38-302";"NEGRO";"100"
"03020301050000";"38-302";"NEGRO";"105"
"03020301100000";"38-302";"NEGRO";"110"
"03020308500000";"38-302";"NEGRO";"85"
"03020309000000";"38-302";"NEGRO";"90"
"03020309500000";"38-302";"NEGRO";"95"
"03020400100000";"38-302";"AQUA";"100"
"03020400105000";"38-302";"AQUA";"105"
"03020400110000";"38-302";"AQUA";"110"
"03020400202";"23-2040";"BLANCO";"85"
"03020400203";"23-2040";"NEGRO";"85"
"03020400205";"23-2040";"ROJO";"85"
"03020400219";"23-2040";"ROSA";"85"
"03020400235";"23-2040";"GRIS";"85"
"03020400302";"23-2040";"BLANCO";"90"
"03020400303";"23-2040";"NEGRO";"90"
"03020400305";"23-2040";"ROJO";"90"
"03020400319";"23-2040";"ROSA";"90"
"03020400335";"23-2040";"GRIS";"90"
"03020400402";"23-2040";"BLANCO";"95"
"03020400403";"23-2040";"NEGRO";"95"
"03020400405";"23-2040";"ROJO";"95"
"03020400419";"23-2040";"ROSA";"95"
"03020400435";"23-2040";"GRIS";"95"
"03020400502";"23-2040";"BLANCO";"100"
"03020400503";"23-2040";"NEGRO";"100"
"03020400519";"23-2040";"ROSA";"100"
"03020400535";"23-2040";"GRIS";"100"
"03020400850000";"38-302";"AQUA";"85"
"03020400900000";"38-302";"AQUA";"90"
"03020400950000";"38-302";"AQUA";"95"
"03020680100000";"38-302";"VISON";"100"
"03020680105000";"38-302";"VISON";"105"
"03020680110000";"38-302";"VISON";"110"
"03020680850000";"38-302";"VISON";"85"
"03020680900000";"38-302";"VISON";"90"
"03020680950000";"38-302";"VISON";"95"
"03021000202";"08-210";"BLANCO";"85"
"03021000203";"08-210";"NEGRO";"85"
"03021000204";"08-210";"HUESO";"85"
"03021000206";"08-210";"AZUL";"85"
"030210002100";"08-210";"FRUTILLA";"85"
"03021000302";"08-210";"BLANCO";"90"
"03021000303";"08-210";"NEGRO";"90"
"03021000304";"08-210";"HUESO";"90"
"03021000306";"08-210";"AZUL";"90"
"030210003100";"08-210";"FRUTILLA";"90"
"03021000402";"08-210";"BLANCO";"95"
"03021000403";"08-210";"NEGRO";"95"
"03021000404";"08-210";"HUESO";"95"
"03021000406";"08-210";"AZUL";"95"
"030210004100";"08-210";"FRUTILLA";"95"
"03021000502";"08-210";"BLANCO";"100"
"03021000503";"08-210";"NEGRO";"100"
"03021000504";"08-210";"HUESO";"100"
"03021000506";"08-210";"AZUL";"100"
"030210005100";"08-210";"FRUTILLA";"100"
"03021001502";"23-2100";"BLANCO";"6"
"03021001507";"23-2100";"NUDE";"6"
"03021001519";"23-2100";"ROSA";"6"
"03021001529";"23-2100";"LILA";"6"
"03021001535";"23-2100";"GRIS";"6"
"03021001702";"23-2100";"BLANCO";"8"
"03021001707";"23-2100";"NUDE";"8"
"03021001719";"23-2100";"ROSA";"8"
"03021001729";"23-2100";"LILA";"8"
"03021001735";"23-2100";"GRIS";"8"
"03021001902";"23-2100";"BLANCO";"10"
"03021001907";"23-2100";"NUDE";"10"
"03021001919";"23-2100";"ROSA";"10"
"03021001929";"23-2100";"LILA";"10"
"03021001935";"23-2100";"GRIS";"10"
"0302100202";"08-210";"BLANCO";"85"
"0302100203";"08-210";"NEGRO";"85"
"0302100204";"08-210";"HUESO";"85"
"0302100206";"08-210";"AZUL";"85"
"03021002100";"08-210";"FRUTILLA";"85"
"03021002102";"23-2100";"BLANCO";"12"
"03021002107";"23-2100";"NUDE";"12"
"03021002119";"23-2100";"ROSA";"12"
"03021002129";"23-2100";"LILA";"12"
"03021002135";"23-2100";"GRIS";"12"
"0302100302";"08-210";"BLANCO";"90"
"0302100303";"08-210";"NEGRO";"90"
"0302100304";"08-210";"HUESO";"90"
"0302100306";"08-210";"AZUL";"90"
"03021003100";"08-210";"FRUTILLA";"90"
"0302100402";"08-210";"BLANCO";"95"
"0302100403";"08-210";"NEGRO";"95"
"0302100404";"08-210";"HUESO";"95"
"0302100406";"08-210";"AZUL";"95"
"03021004100";"08-210";"FRUTILLA";"95"
"0302100502";"08-210";"BLANCO";"100"
"0302100503";"08-210";"NEGRO";"100"
"0302100504";"08-210";"HUESO";"100"
"0302100506";"08-210";"AZUL";"100"
"03021005100";"08-210";"FRUTILLA";"100"
"0302102100";"08-210";"FRUTILLA";"85"
"0302103100";"08-210";"FRUTILLA";"90"
"0302104100";"08-210";"FRUTILLA";"95"
"0302105100";"08-210";"FRUTILLA";"100"
"03021100503";"23-2110";"NEGRO";"100"
"03021150203";"23-2115";"NEGRO";"85"
"03021150212";"23-2115";"MANDARIN";"85"
"03021150302";"23-2115";"BLANCO";"90"
"03021150303";"23-2115";"NEGRO";"90"
"03021150312";"23-2115";"MANDARIN";"90"
"03021150412";"23-2115";"MANDARIN";"95"
"03021150415";"23-2115";"CORALINO";"95"
"03021150503";"23-2115";"NEGRO";"100"
"03021150512";"23-2115";"MANDARIN";"100"
"03021150515";"23-1300";"NUDE";"90"
"03021501319";"23-2150";"ROSA/FUCSIA";"4"
"03021501329";"23-2150";"LILA";"4"
"03021501335";"23-2150";"GRIS";"4"
"03021501340";"23-2150";"BLANCO/ROSA";"4"
"03021501353";"23-2150";"BLANCO/LILA";"4"
"03021501373";"23-2150";"VERDE";"4"
"03021501386";"23-2150";"NUDE/CORAL";"4"
"03021501519";"23-2150";"ROSA/FUCSIA";"6"
"03021501529";"23-2150";"LILA";"6"
"03021501535";"23-2150";"GRIS";"6"
"03021501540";"23-2150";"BLANCO/ROSA";"6"
"03021501553";"23-2150";"BLANCO/LILA";"6"
"03021501567";"23-2150";"LILA/NEGRO";"6"
"03021501573";"23-2150";"VERDE";"6"
"03021501586";"23-2150";"NUDE/CORAL";"6"
"03021501729";"23-2150";"LILA";"8"
"03021501735";"23-2150";"GRIS";"8"
"03021501740";"23-2150";"BLANCO/ROSA";"8"
"03021501753";"23-2150";"BLANCO/LILA";"8"
"03021501767";"23-2150";"LILA/NEGRO";"8"
"03021501773";"23-2150";"VERDE";"8"
"03021501786";"23-2150";"NUDE/CORAL";"8"
"03021501919";"23-2150";"ROSA/FUCSIA";"10"
"03021501929";"23-2150";"LILA";"10"
"03021501935";"23-2150";"GRIS";"10"
"03021501940";"23-2150";"BLANCO/ROSA";"10"
"03021501953";"23-2150";"BLANCO/LILA";"10"
"03021501967";"23-2150";"LILA/NEGRO";"10"
"03021501973";"23-2150";"VERDE";"10"
"03021501986";"23-2150";"NUDE/CORAL";"10"
"03021502129";"23-2150";"LILA";"12"
"03021502135";"23-2150";"GRIS";"12"
"03021502140";"23-2150";"BLANCO/ROSA";"12"
"03021502153";"23-2150";"BLANCO/LILA";"12"
"03021502167";"23-2150";"LILA/NEGRO";"12"
"03021502173";"23-2150";"VERDE";"12"
"03021502186";"23-2150";"NUDE/CORAL";"12"
"0302680900000";"38-302";"VISON";"90"
"03030000202";"08-300";"BLANCO";"85"
"03030000203";"08-300";"ROJO";"85"
"03030000204";"08-300";"HUESO";"85"
"030300002100";"08-300";"FRUTILLA";"85"
"03030000302";"08-300";"BLANCO";"90"
"03030000303";"08-300";"ROJO";"90"
"03030000304";"08-300";"HUESO";"90"
"030300003100";"08-300";"FRUTILLA";"90"
"03030000402";"08-300";"BLANCO";"95"
"03030000403";"08-300";"ROJO";"95"
"03030000404";"08-300";"HUESO";"95"
"030300004100";"08-300";"FRUTILLA";"95"
"03030000502";"08-300";"BLANCO";"100"
"03030000503";"08-300";"ROJO";"100"
"03030000504";"08-300";"HUESO";"100"
"030300005100";"08-300";"FRUTILLA";"100"
"0303000202";"08-300";"BLANCO";"85"
"0303000203";"08-300";"NEGRO";"85"
"0303000204";"08-300";"HUESO";"85"
"0303000205";"08-300";"ROJO";"85"
"03030002100";"08-300";"FRUTILLA";"85"
"0303000302";"08-300";"BLANCO";"90"
"0303000303";"08-300";"NEGRO";"90"
"0303000304";"08-300";"HUESO";"90"
"0303000305";"08-300";"ROJO";"90"
"03030003100";"08-300";"FRUTILLA";"90"
"0303000402";"08-300";"BLANCO";"95"
"0303000403";"08-300";"NEGRO";"95"
"0303000404";"08-300";"HUESO";"95"
"0303000405";"08-300";"ROJO";"95"
"03030004100";"08-300";"FRUTILLA";"95"
"0303000502";"08-300";"BLANCO";"100"
"0303000503";"08-300";"NEGRO";"100"
"0303000504";"08-300";"HUESO";"100"
"0303000505";"08-300";"ROJO";"100"
"03030005100";"08-300";"FRUTILLA";"100"
"030300101";"18-303";"BLANCO";"1"
"030300103";"18-303";"NEGRO";"1"
"030300114";"18-303";"ALMENDRA";"1"
"030300201";"18-303";"BLANCO";"2"
